               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.119,            0.041173,            0.040843,           0.0028616,             0.32292,            0.020933,           0.0053044,             0.11409,            0.025276,            0.042609,              0.0955,              0.0005,              0.0005
                   1,             0.11343,             0.04022,            0.038718,           0.0026253,             0.32292,            0.011067,           0.0026547,             0.10845,            0.023727,            0.039093,            0.090091,           0.0010915,           0.0010915
                   2,             0.10873,            0.039519,            0.035064,           0.0026428,             0.32292,            0.038069,           0.0089309,             0.10258,             0.02309,            0.034506,            0.084674,           0.0016737,           0.0016737
                   3,             0.10168,            0.042346,            0.031186,            0.002664,             0.33333,             0.10486,            0.048046,            0.095539,            0.023018,            0.030698,            0.079247,           0.0022466,           0.0022466
                   4,            0.096962,             0.04282,            0.027043,             0.97077,             0.21683,             0.30547,             0.16506,            0.093037,            0.021545,            0.024944,             0.07381,           0.0028103,           0.0028103
                   5,            0.093482,            0.035958,            0.021957,             0.92761,             0.28125,             0.27938,            0.099493,            0.095684,            0.020321,            0.020847,            0.068365,           0.0033646,           0.0033646
                   6,            0.093026,            0.038884,             0.01842,             0.92401,              0.3125,             0.28755,             0.12832,            0.090225,            0.020668,            0.017358,             0.06291,           0.0039097,           0.0039097
                   7,            0.088655,             0.04074,            0.015188,             0.81881,             0.26244,             0.17575,            0.085299,            0.088581,            0.020432,            0.014598,            0.057446,           0.0044455,           0.0044455
                   8,            0.089355,            0.037552,            0.013194,             0.89585,             0.27513,             0.26543,             0.12741,            0.092572,            0.019985,            0.012005,            0.051972,           0.0049721,           0.0049721
                   9,            0.088084,            0.041098,            0.012175,             0.90509,             0.21875,              0.2582,             0.14707,            0.091401,            0.019962,           0.0095398,            0.046489,           0.0054893,           0.0054893
                  10,            0.088126,            0.041206,            0.010439,             0.97842,             0.30093,             0.32809,             0.19125,             0.08392,            0.020309,           0.0079399,            0.040997,           0.0059973,           0.0059973
                  11,            0.087253,            0.039516,           0.0073587,             0.88487,             0.20833,             0.23639,             0.12626,            0.087058,            0.019196,           0.0068493,            0.035496,           0.0064959,           0.0064959
                  12,            0.087228,            0.035016,            0.007462,              0.8379,             0.30208,             0.28112,             0.14488,            0.081479,            0.019444,            0.006134,            0.029985,           0.0069853,           0.0069853
                  13,            0.081956,            0.036455,           0.0062381,              0.6753,             0.34943,             0.35632,             0.17138,            0.084004,            0.018486,            0.005294,            0.024465,           0.0074655,           0.0074655
                  14,            0.082107,              0.0328,           0.0059221,             0.87926,             0.23846,             0.24074,             0.11116,            0.088304,            0.017105,           0.0049948,            0.018936,           0.0079363,           0.0079363
                  15,            0.077029,            0.034218,           0.0054024,             0.87462,                0.25,             0.27088,             0.14104,            0.086559,            0.016834,           0.0040134,            0.013398,           0.0083979,           0.0083979
                  16,            0.082763,            0.031744,           0.0044014,             0.90414,             0.23232,             0.27396,             0.15069,            0.085554,            0.015953,           0.0038343,           0.0087625,           0.0087625,           0.0087625
                  17,            0.081317,            0.030619,           0.0047065,             0.88641,             0.22917,             0.26597,             0.11844,            0.092718,            0.013908,           0.0033892,           0.0087625,           0.0087625,           0.0087625
                  18,            0.080106,            0.029645,           0.0046204,             0.50475,              0.3125,             0.27007,             0.13658,            0.085733,            0.015289,           0.0038183,           0.0086852,           0.0086852,           0.0086852
                  19,            0.074671,            0.030734,            0.004395,             0.23264,             0.44192,             0.27528,             0.16385,            0.085609,            0.014694,           0.0035299,           0.0086078,           0.0086078,           0.0086078
                  20,            0.076841,            0.031435,           0.0038913,             0.18917,             0.39785,             0.29575,             0.16926,            0.082359,            0.015881,           0.0033194,           0.0085305,           0.0085305,           0.0085305
                  21,             0.07276,            0.032418,           0.0043505,             0.29789,             0.56303,             0.36714,             0.20586,             0.07835,            0.015842,           0.0030318,           0.0084531,           0.0084531,           0.0084531
                  22,            0.074576,             0.03324,           0.0032006,             0.32324,             0.55477,             0.43734,             0.23148,            0.079034,            0.014984,           0.0027128,           0.0083758,           0.0083758,           0.0083758
                  23,            0.071682,            0.025745,           0.0034451,             0.69027,             0.46685,             0.39019,             0.22674,            0.074721,            0.014595,           0.0025186,           0.0082984,           0.0082984,           0.0082984
                  24,            0.066435,            0.030666,           0.0040512,             0.75734,             0.45539,             0.45335,             0.22238,            0.073608,            0.015156,           0.0023661,           0.0082211,           0.0082211,           0.0082211
                  25,            0.066418,            0.028303,           0.0031841,             0.69913,             0.39471,             0.42437,             0.23803,             0.07316,            0.014633,           0.0022345,           0.0081437,           0.0081437,           0.0081437
                  26,            0.066128,            0.028253,           0.0035098,             0.72457,             0.37878,             0.43442,             0.24386,            0.070665,            0.014687,           0.0022276,           0.0080664,           0.0080664,           0.0080664
                  27,            0.062701,            0.027561,           0.0029432,             0.71546,             0.45833,              0.4489,             0.26001,            0.064368,             0.01479,           0.0021501,           0.0079891,           0.0079891,           0.0079891
                  28,            0.064978,            0.026783,           0.0039091,              0.7068,             0.41667,             0.46353,             0.23217,            0.071947,            0.014317,           0.0020554,           0.0079117,           0.0079117,           0.0079117
                  29,            0.063802,            0.024604,            0.003666,             0.43004,             0.57655,             0.44571,             0.25697,            0.062105,            0.014816,            0.002112,           0.0078344,           0.0078344,           0.0078344
                  30,            0.064201,             0.02736,           0.0031314,             0.76738,             0.44792,             0.51977,             0.26731,            0.071079,             0.01405,           0.0020534,            0.007757,            0.007757,            0.007757
                  31,            0.061005,            0.026306,           0.0035986,             0.42648,             0.52898,             0.42088,               0.257,            0.065804,            0.014137,           0.0020625,           0.0076797,           0.0076797,           0.0076797
                  32,            0.059793,             0.02874,            0.003007,             0.46736,             0.63676,             0.52436,             0.30102,            0.062664,            0.013817,           0.0021635,           0.0076023,           0.0076023,           0.0076023
                  33,            0.053793,             0.02697,           0.0031858,              0.4482,             0.68011,             0.48291,             0.27225,            0.067958,            0.013729,           0.0020093,            0.007525,            0.007525,            0.007525
                  34,            0.061916,            0.025811,           0.0030233,             0.68447,             0.46875,              0.4546,             0.25923,            0.063665,            0.014149,           0.0019867,           0.0074477,           0.0074477,           0.0074477
                  35,            0.055854,            0.027034,           0.0025958,             0.55762,             0.67031,             0.59972,             0.34654,            0.060874,            0.013535,           0.0018768,           0.0073703,           0.0073703,           0.0073703
                  36,             0.05778,            0.025167,           0.0029032,             0.68177,             0.54378,             0.59325,             0.32977,            0.060659,            0.013565,           0.0019455,            0.007293,            0.007293,            0.007293
                  37,            0.052239,            0.027915,           0.0027679,             0.52618,             0.58535,             0.56922,             0.29378,            0.061982,            0.014664,           0.0017418,           0.0072156,           0.0072156,           0.0072156
                  38,            0.055463,            0.023395,           0.0026032,             0.52417,             0.75175,             0.59407,             0.35012,            0.053458,            0.013584,           0.0018594,           0.0071383,           0.0071383,           0.0071383
